SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_Code,Count,Code,CodeDescription,ShortName
1,V1,Time Depth,The time of the ensemble's origin in the particular culture named.,,Categorical,Lomax (1968-77),,1_0,18,0,Missing Data,Missing Data
2,,,,,,,,1_1,587,1,"The ensemble is traditional in the culture, but little or nothing is known about the date of origin.",Traditional
3,,,,,,,,1_2,26,2,The ensemble is traditional in the culture but known to be archaic.,"Traditional, archaic"
4,,,,,,,,1_3,13,3,The ensemble is recently acquired by the culture but rare.,"Recent, rare"
5,,,,,,,,1_4,68,4,The ensemble is recently acquired by the culture and widely used.,"Recent, widely used"
6,,,,,,,,1_5,39,5,The ensemble's instruments are part of an archaeological collection; time of origin is very recent to 1000 CE.,1000 CE - recent
7,,,,,,,,1_6,6,6,The ensemble's instruments are part of an archaeological collection; time of origin is 1000 CE to 1 CE.,1 - 1000 CE
8,,,,,,,,1_7,13,7,The ensemble's instruments are part of an archaeological collection; time of origin is 1 CE to 1000 BCE.,1000 BCE - 1 CE
9,,,,,,,,1_8,6,8,The ensemble's instruments are part of an archaeological collection; time of origin is 1000 BCE to 3000 BCE.,3000 - 1000 BCE
10,,,,,,,,1_9,0,9,The ensemble's instruments are part of an archaeological collection; time of origin is prior to 3000 BCE.,Prior to 3000 BCE
11,V2,Importance of the ensemble in the culture,A judgment of the relative prevalence and importance of the ensemble in the culture that it belongs to.,,Categorical,Lomax (1968-77),,2_0,25,0,Missing Data,Missing Data
12,,,,,,,,2_1,338,1,The ensemble is common in the culture.,Common
13,,,,,,,,2_2,309,2,The ensemble is fairly common in the culture.,Fairly common
14,,,,,,,,2_3,44,3,The ensemble is rare in the culture.,Rare
15,,,,,,,,2_4,60,4,The ensemble is rare but important in the culture.,Rare but important
16,V3,Gender composition of the ensemble,The typical gender makeup of members of the ensemble.,,Categorical,Lomax (1968-77),,3_0,56,0,Missing Data,Missing Data
17,,,,,,,,3_1,484,1,The ensemble is all male.,All male
18,,,,,,,,3_2,92,2,The ensemble is largely male.,Largely male
19,,,,,,,,3_3,57,3,The ensemble is about half male and half female.,Half/half
20,,,,,,,,3_4,11,4,The ensemble is largely female.,Largely female
21,,,,,,,,3_5,51,5,The ensemble is all female.,All female
22,,,,,,,,3_6,16,6,The ensemble is all children.,All children
23,,,,,,,,3_7,9,7,Any combination of the sexes is typical and equally acceptable.,Any combination
