E-id,Archival_Culture_Name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Notes
743,A CHINA,6,1,1,5,3,1,14,16,0,3,14,12,
744,A CHINA,6,1,1,5,2,1,10,0,2,3,13,7,
745,A CHINA,1,1,1,5,2,9,8,0,0,1,22,4,
746,A CHINA,6,1,1,5,2,10,14,0,2,4,22,12,
747,A CHINA,6,1,1,5,3,1,14,16,0,1,14,13,
325,ABELAM,1,1,2,5,3,3,1,15,2,4,18,5,
43,AINU,1,2,5,0,1,15,0,0,0,1,1,1,
44,AINU,1,2,5,0,2,15,16,0,3,2,1,1,
238,AMHARA,2,1,0,0,0,0,16,0,2,2,1,1,
239,AMHARA,1,2,1,4,1,7,0,0,4,0,1,1,
240,AMHARA,2,1,1,0,1,0,0,0,2,2,1,1,
241,AMHARA,1,2,0,0,1,10,0,0,0,1,4,2,
242,AMHARA,1,1,1,5,2,16,0,0,3,6,1,1,
243,AMHARA,1,1,0,5,1,10,0,0,0,0,10,3,
244,AMHARA,1,4,1,5,1,1,12,0,0,1,13,1,
708,AMHARA,0,1,1,0,2,10,11,0,1,2,1,1,
709,AMHARA,0,1,1,0,2,10,11,0,1,2,1,1,
710,AMHARA,0,1,1,0,1,1,0,0,1,6,4,3,
711,AMHARA,0,2,0,0,2,1,14,0,0,1,1,1,
712,AMHARA,0,0,0,0,3,16,10,1,3,1,5,1,
713,AMHARA,0,1,6,5,2,16,10,0,0,1,1,1,
351,ANCIENTGREECE,7,1,4,0,2,15,16,0,2,2,1,1,
352,ANCIENTGREECE,7,1,2,0,2,15,16,0,2,2,1,1,
460,ANDALUCIA,1,1,1,5,1,10,11,16,2,2,13,4,
461,ANDALUCIA,1,2,1,5,3,12,1,9,3,0,12,3,
463,ANDALUCIA,6,2,4,3,1,12,1,16,1,5,6,3,
464,ANDALUCIA,5,2,1,5,2,16,10,0,2,2,5,3,
465,ANDALUCIA,1,2,1,5,2,10,11,12,4,0,2,2,
466,ANDALUCIA,1,1,5,1,1,10,11,16,3,2,2,2,
467,ANDALUCIA,1,1,3,5,2,10,11,16,3,3,14,4,
641,ANDALUCIA,1,1,1,5,2,4,16,0,1,3,2,1,
642,ANDALUCIA,1,1,3,0,1,10,11,16,3,1,3,2,
428,ANDAMAN,1,1,1,5,3,10,11,1,4,0,1,1,
116,ARAUCANIAN,1,4,5,1,1,1,0,0,2,5,3,3,
117,ARAUCANIAN,1,0,0,0,1,1,0,0,2,0,1,1,
118,ARAUCANIAN,1,4,5,0,1,2,0,0,0,1,1,1,
119,ARAUCANIAN,1,1,0,0,1,10,0,0,0,1,4,2,
