E-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Ensemble/Song_name,Instruments_in_Ensemble,See_I-ids,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
361,CHAGGA,13388,,,4 Drums; 3 Kudu horns,1003; 1002,,"Abbott, W. L. (1892). Descriptive catalogue of the Abbott collection of ethnological objects from Kilima-njaro, East Africa. Washington: U.S. Government Publishing Office.",,,@Abbott1892KilimanjaroCatalogue,
624,S RUMANIA,23090,Refers specifically to Oltenia,,1 Guitar; 1 Fiddle,1371; 1372,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
625,S RUMANIA,23090,Refers specifically to Oltenia,Epic,1 Cimbalom; 1 Double bass,1370; 1369,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
626,S RUMANIA,12640,Refers specifically to S. Bucharest,"Itele, Bugeac",1 Flute,1366,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
627,S RUMANIA,12640,Refers specifically to S. Bucharest,Dragaica,1 Whistle,1368,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
628,S RUMANIA,"30089, 23090",Refers specifically to Moldavia and Wallachia,,1 Friction drum (buhai); 1 Flute; 1 Bell,1364; 1366; 1367,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
629,S RUMANIA,"30089, 23090",Refers specifically to South Wallachia and Oltenia,Wedding,1 Fiddle; 1 Lute; 1 Cimbalom,1372; 1365; 1370,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
630,S RUMANIA,12640,Refers specifically to S. Bucharest,Domia (dragoste),1 Fiddle; 1 Cimbalom (tzambal),1372; 1370,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
631,S RUMANIA,"10858, 12640, 30089, 23090",,Carolers,1 Drum (buhai); 1 Flute,1364; 1366,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
632,N RUMANIA,24399,Refers specifically to Banat and Moldavia,,1 Flute; 2 Fiddles; 1 Cello; 1 Double bass; 1 Cimbalom,1627; 1375; 1383; 1382; 1373,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
633,N RUMANIA,13894,Refers specifically to Baciu and Moldavia,Shepherd,1 Bagpipe (cimpoin); 1 Flute,1374; 1627,1 player,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
634,N RUMANIA,,Refers specifically to Moldavia,,1 Flute (tilinca),1627,Large Moldavia flute,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
635,N RUMANIA,"24421, 13894",Refers specifically to N Moldavia and Transylvania,Shepherd,1 Alphorn,1380,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
636,N RUMANIA,,Refers specifically to Moldavia,Wedding,1 Flute; 1 Fiddle; 1 Lute (cobza),1627; 1375; 1376,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
637,N RUMANIA,"24421, 13894, 24399",Refers specifically to Transylvania and Banat,Carolers,1 Drum (buhai); 1 Flute,1377; 1627,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
638,N RUMANIA,"24421, 13894",Refers specifically to Moldavia and Transylvania,Goat Dance,1 Clapper; 1 Alphorn,1379; 1380,Lower jaw of mask,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
639,N RUMANIA,,Refers specifically to N Moldavia,Bear Dance,1 Flute; 2 Drums,1627; 1381,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
640,N RUMANIA,"24421, 13894",Refers specifically to N Moldavia and Transylvania,Funeral Procession,5 Alphorns,1380,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
753,S RUMANIA,"10858, 12640, 30089, 23090",,Folk Orchestra,10 Fiddle; 2 Lutes (cobza); 1 Flute; 1 Clarinet; 1 Piano; 3 Bass viols; 1 Panpipes,1372; 1365; 1366; 1630; 1632; 1369; 1631,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
754,N RUMANIA,"30090, 24399, 24421, 13894, 24432",,Taraf Band,1 Fiddle; 1 Flute; 1 Lute; 1 Cornet; 1 Bass viol,1375; 1626; 1376; 1628; 1382,,"Alexandru, T. (1959). [Liner notes]. Anthology Of Rumanian Folk Music Vol. II. Bucharest: Electrerecord.",,7C70,@Electrerecord1959AnthologyofRumanianFolkII,
289,WOLOF,28744,,Dance Music for Naming Ceremony (Gajo),1 Drum (tama); 1 Drum (sabar); 2 Drums (gorong); 15 Clapping,818; 809; 810; 816,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.B3,@FW1955WolofMusicSenegalGambia,
290,WOLOF,28744,,Tara (Traditional Song),2 Lutes (halam),808,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.A5,@FW1955WolofMusicSenegalGambia,
728,WOLOF,28744,,Drum,1 Drum (sabar); 1 Drum (gorong); 1 Drum (mbalah); 1 Drum (lamba),809; 810; 811; 812,Theoretical drum ensemble to substantiate functions for drumming in general,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10,@FW1955WolofMusicSenegalGambia,
729,WOLOF,28744,,Secular Praise Song ,2 Calabash; 2 Clapping,1578; 816,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.A1,@FW1955WolofMusicSenegalGambia,
730,WOLOF,28744,,"Griot Performance, Dance Rhythms",1 Drum (tama); 2 Drums (gorong),818; 810,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.A4; 4A10.B1,@FW1955WolofMusicSenegalGambia,
731,WOLOF,28744,,"Hasida, Hymns",2 Drums (tabala); 1 Clapper,814; 815,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.B4,@FW1955WolofMusicSenegalGambia,
732,WOLOF,28744,,Wedding Dance Music,1 Drum (sabar); 2 Drums (gorong),809; 810,,"Ames, D. (1955). [Liner notes]. Wolof Music of Senegal and the Gambia. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/wolof-music-of-senegal-and-the-gambia/world/album/smithsonian",,4A10.A2,@FW1955WolofMusicSenegalGambia,
66,MAORI,20835,,,25 Percussion sticks,168,,"Anderson, J. (1934). Maori music, with its Polynesian background. Memoirs of the Polynesian Society, 10.","Anderson, 208",,@Anderson1934MaoriMusic,
67,MAORI,20835,,,1 Flute,171,,"Anderson, J. (1934). Maori music, with its Polynesian background. Memoirs of the Polynesian Society, 10.","Anderson, 230",,@Anderson1934MaoriMusic,
68,MAORI,20835,,,1 Flute,169,,"Anderson, J. (1934). Maori music, with its Polynesian background. Memoirs of the Polynesian Society, 10.","Anderson, 257",,@Anderson1934MaoriMusic,
69,MAORI,20835,,,2 Jew's Harps,175,,"Anderson, J. (1934). Maori music, with its Polynesian background. Memoirs of the Polynesian Society, 10.","Anderson, 299",,@Anderson1934MaoriMusic,
535,BRI URBBAR,"15095, 15093, 24520",,Chest of Viols,2 Treble viols; 2 Tenor viols; 2 Bass viols,1737,,"Apel, W. (1960). Harvard Dictionary of Music. Cambridge: Harvard University Press",,,@Apel1964HarvardDictionaryOfMusic,
436,GOAJIRO,15973,,,4 Rattles; 2 Drums,1138; 1142,,"Armstrong, J. M & Mitraux, A. (1948). The Goajiro. In J. H. Steward (Ed.), Handbook of South American Indians Vol IV: The Circum-Caribbean Tribes. Washington, D.C.: Smithsonian Institution.",,,@ArmstrongMitraux1948Goajiro,
